Name,Aadhaar,ClaimAmount,SubsidyType,Date,FraudLabel
Kashvi Vala,179854900490,13476,Farming,2024-09-22,0
Vasana Hari,329958742796,11607,Healthcare,2025-05-21,1
Jairaj Dayal,241406029333,87787,Housing,2025-01-18,1
Akshay Basak,680596969621,9935,Education,2024-09-14,0
Dakshesh Patla,190147342722,11288,Education,2025-01-05,0
Frado Desai,341700545583,3795,LPG,2025-05-15,0
Aishani Deol,286178058138,19164,Education,2025-02-17,0
Wridesh Shenoy,651481114687,9179,Farming,2025-05-23,1
Kevin Barman,550054908099,12722,Healthcare,2025-04-17,0
Jatin Pillay,420028923437,6730,Healthcare,2025-05-22,1
Lohit Rau,385442402948,7427,Education,2025-02-03,0
Vasana Wali,855048680498,83499,Housing,2025-06-26,0
Yochana Bhargava,250385762648,13656,Education,2025-05-11,1
Chaaya Apte,068086366213,57532,Equipment,2024-10-26,0
Unnati Date,287340362756,15735,Farming,2024-09-16,0
Riya Bhatnagar,356722438398,8887,Healthcare,2024-11-10,0
Aayush Khatri,786218081636,5081,Education,2025-04-20,0
Dev Choudhry,178847951371,9032,Education,2024-09-30,0
Joshua Tank,443643644432,47797,Equipment,2025-01-31,0
Naveen Thaker,137804987620,16675,Healthcare,2025-05-21,1
Samarth Shere,963859524050,6995,Education,2024-12-09,0
Bachittar Rastogi,291656130739,14343,Healthcare,2024-08-10,0
Amara Parikh,093636620570,2584,LPG,2025-04-06,0
Nicholas Aurora,382997376311,16255,Education,2025-01-02,1
Mohammed Thakur,969229533861,4125,Healthcare,2024-08-03,0
Ishwar Varma,926442209690,19528,Housing,2025-01-10,1
Anirudh Anand,738133098314,7858,LPG,2024-11-05,0
Omkaar Banik,578982604180,5843,Healthcare,2024-09-10,0
Wriddhish Gill,894011713037,13143,Education,2024-08-21,0
Yadavi Om,457848399741,11001,Farming,2024-09-01,0
Panini Chakrabarti,898240425149,147476,Housing,2024-10-15,1
Jagat Nayar,179005312605,6029,LPG,2025-03-08,0
Ekta Kant,754839377727,11709,Equipment,2025-01-02,0
Hitesh Nigam,228017710629,3858,LPG,2024-07-10,0
Tristan Comar,066660452369,7805,Farming,2025-03-30,0
Lila Salvi,066013824127,6959,Education,2024-10-10,0
Lavanya Pandit,961760004083,3277,Healthcare,2025-06-13,0
Yatan Prabhakar,931324191002,21791,Farming,2025-04-27,0
Harita Pathak,921831608874,6758,LPG,2024-12-24,0
Saumya Purohit,214161415093,53667,Housing,2024-08-21,0
Osha Pandey,681945754523,3906,LPG,2025-03-20,0
Pooja Bose,238545148181,4452,LPG,2025-04-18,0
Naksh Shankar,943918568674,35069,Equipment,2024-11-22,0
Charita Andra,749687574465,6107,LPG,2025-04-02,0
Niharika Munshi,230127469017,28341,Housing,2024-08-25,0
Banjeet Korpal,084698732975,4456,Healthcare,2024-12-19,0
Lopa Zachariah,909700514054,55019,Housing,2024-12-09,0
Patrick Mani,899425328369,3119,Farming,2025-05-17,0
Aryan Doshi,787037131194,12352,Equipment,2025-06-20,0
Mugdha Narain,299055523783,38991,Equipment,2024-11-07,0
Chaaya Devi,942075425523,6225,LPG,2025-04-17,0
Harish Mukherjee,124998569847,7878,Equipment,2024-09-17,1
Rachit Kapur,047471248344,2552,LPG,2024-08-17,0
Isaac Mallick,135214857517,3025,LPG,2024-08-02,0
Chandran Chopra,487706769333,15956,Farming,2025-04-12,0
Faqid Mitter,308107993456,1964,LPG,2024-10-23,0
Neel Barad,048476973971,36263,Housing,2025-05-14,0
Aarnav Bhat,478985625753,2339,LPG,2025-01-20,1
Jairaj Wable,923355885728,17158,Equipment,2025-01-21,0
Girish Raman,315307079190,6085,LPG,2025-06-22,0
Sarthak Rana,703238128171,12332,Healthcare,2025-05-31,0
Bakhshi Arora,454310566624,6098,Farming,2025-02-22,0
Chaman Kanda,476912377939,12202,Healthcare,2024-08-16,0
Naveen Bhavsar,492294689761,7487,Education,2025-05-14,1
Kai Kuruvilla,709319579965,18049,Healthcare,2025-05-14,1
Ganga Pandey,722332061632,5952,Healthcare,2025-03-03,1
Yashvi Varkey,690927557192,53553,Housing,2024-10-16,1
Amaira Ramakrishnan,821807410020,4357,Healthcare,2025-01-03,0
Henry Lata,152566288525,19923,Farming,2024-09-29,0
Veda Guha,247152763668,12548,Farming,2025-10-05,1
Barkha Arya,887961402085,57256,Housing,2025-03-23,0
Aarav Joshi,268667901686,10825,Equipment,2024-08-21,0
Ekaraj Sha,452593570765,12377,Education,2025-01-17,0
Jagvi Varghese,177225605313,1761,LPG,2025-01-19,0
Aditya Minhas,063267392060,2413,LPG,2025-04-24,0
Wishi Sampath,273421120291,43926,Equipment,2025-03-15,0
Odika Sekhon,751862109863,51435,Housing,2025-06-17,0
Raghav Tailor,514607455534,80533,Housing,2024-12-14,0
Ishwar Rattan,855084410167,21334,Farming,2024-09-06,0
Ganga Chauhan,918255371478,9018,Farming,2024-09-11,1
Daksha Choudhary,795541298249,6445,Farming,2024-10-01,0
Yachana Basak,421487630298,99965,Housing,2025-03-15,0
Libni Nair,558859918903,4566,LPG,2025-06-16,0
Thomas Shankar,821038878151,2183,LPG,2025-03-15,0
Kevin Rattan,303101663662,14531,Farming,2025-01-02,0
Advay Contractor,016328708317,20631,Farming,2025-06-07,0
Yachana Dash,811977650719,30709,Equipment,2025-02-06,0
Devika Rastogi,634957885685,6068,LPG,2024-11-16,0
Onveer Virk,060943632528,13048,Education,2025-06-05,0
Yoshita Vyas,746863864610,30066,Equipment,2025-06-19,0
Urvi Iyengar,616022274217,13483,Healthcare,2025-06-06,0
Xavier Srinivas,994018989266,22619,Farming,2025-04-21,0
Wakeeta Kala,416785304456,79983,Housing,2024-12-24,0
Champak Anne,309252390605,27882,Housing,2024-07-24,0
Sanya Mutti,456506098358,83535,Housing,2024-10-19,1
Urvi Radhakrishnan,242102499471,18940,Farming,2024-11-17,1
Reyansh Nagi,802205093869,43027,Equipment,2025-03-17,0
Jalsa Dhawan,188158582279,16330,Equipment,2025-01-20,0
Isaac Karnik,188959491926,5864,LPG,2024-12-19,0
Oliver Chakrabarti,821739295786,94960,Housing,2025-06-08,0
Indira Tripathi,016016629979,3530,LPG,2024-10-10,0
Qushi Ahuja,290678701817,5970,Equipment,2025-05-20,1
Daniel Sani,577884620542,18427,Education,2025-05-12,1
Mitali Kari,520351919850,4157,LPG,2025-05-18,0
Wriddhish Samra,889250000463,71990,Housing,2024-08-10,0
Abhiram Mistry,910229014767,6909,Healthcare,2024-11-17,0
Omya Mody,907541183241,18729,Education,2024-09-06,0
Yashvi Kadakia,121018426226,6949,LPG,2024-11-24,0
Dayita Shroff,930454184039,35026,Equipment,2024-09-30,0
Yauvani Brar,278796338790,11007,Healthcare,2024-10-07,0
Yachana Buch,900672825244,22266,Farming,2024-10-14,0
Zayan Yadav,807593839263,24324,Farming,2024-07-07,0
Harinakshi Chatterjee,785272440695,22257,Farming,2025-06-29,0
Tejas Murthy,172137026167,8952,Education,2025-06-19,0
Tarak Sen,025447241916,5726,LPG,2024-10-07,0
Garima Nagi,119314504115,10705,Healthcare,2024-09-09,0
Chaitaly Bhagat,976405356707,9132,Healthcare,2025-02-23,0
Warjas Sangha,535440789677,9646,Housing,2025-05-13,1
Leela Raval,782368131434,3060,Farming,2024-09-26,0
Simon Shah,740501332034,5350,LPG,2025-02-06,0
Aarush Nanda,695694597414,7875,LPG,2025-03-29,0
Aarav Trivedi,653547488470,35452,Equipment,2024-08-16,0
Varenya Kibe,153814474430,39714,Equipment,2025-01-18,0
Lakshit Prabhu,541212428359,18991,Equipment,2024-08-04,0
Harish Mander,931639348355,38079,Housing,2024-07-16,0
Wishi Chandra,627767469588,12451,Education,2024-11-27,0
Janani Bansal,071961293321,9147,Farming,2024-12-28,0
Indira Sankar,528311977895,9672,Education,2024-12-31,0
Chameli Mani,332541107609,56428,Equipment,2024-11-06,0
Darsh Ghose,707900302242,60944,Housing,2024-10-18,0
Omisha Koshy,217410375141,416780,Housing,2025-01-26,1
Ranveer Hans,575917105080,3505,LPG,2024-08-17,0
Abhiram Keer,388703053338,58414,Equipment,2025-06-30,0
Girik Sahota,904508394720,47849,Housing,2025-01-03,0
Bhavani Wali,220300449646,4670,Education,2025-05-09,0
Yashvi Kapoor,927176934317,18527,Housing,2025-05-06,1
Lajita Dube,056730306442,4551,Education,2024-11-18,0
Arunima Tella,306951657121,11978,Education,2024-07-25,0
Kamya Mistry,049198170015,2155,Healthcare,2025-04-21,0
Widisha Swaminathan,347283951673,8096,Equipment,2025-04-15,0
Zaid Sahota,936364605955,7144,Equipment,2025-05-08,1
Ubika Seth,755426190384,21591,Farming,2025-03-02,0
Bhanumati Sur,518812520566,4379,LPG,2025-05-23,0
Anika Padmanabhan,933495037547,60541,Housing,2025-05-17,0
Hemang Muni,816528077345,55769,Equipment,2024-11-03,0
Yoshita Hayre,726955328457,24451,Farming,2025-05-04,0
Chasmum Sawhney,227090866005,19970,Equipment,2024-07-01,0
Mohini Buch,566633080254,4615,Housing,2025-05-03,1
Charita Ahluwalia,445667394197,11245,Housing,2024-08-05,0
Wyatt Lanka,203608941184,38738,Equipment,2024-08-18,0
Harini Nagarajan,923297502910,64303,Housing,2024-11-13,0
Liam Mukherjee,480405412733,6608,Housing,2025-05-21,1
Chatresh Gulati,991738168460,93761,Housing,2024-08-17,1
Gaurav Anand,282532676992,2574,LPG,2025-02-28,0
Chaitaly Setty,460136730371,10157,Healthcare,2024-10-15,0
Udant Shanker,488633200268,15900,Farming,2024-07-29,0
Nirja Balan,988611395543,1870,LPG,2024-11-15,0
Turvi Gola,830342437539,19650,Education,2025-04-20,0
Ekansh Butala,569939142652,18303,Education,2024-09-22,0
Avni Nanda,486935723479,49027,Equipment,2024-11-25,0
Unni Bhagat,876038597703,5069,LPG,2024-11-25,0
Watika Dutta,243675235637,2285,Education,2025-05-21,0
Lucky Bahl,869438374025,23026,Equipment,2025-03-30,0
Gauri Anand,307177613500,7277,Education,2025-05-16,1
Charita Chaudry,851325053034,17960,Housing,2025-05-20,1
Aradhana Mane,541646071500,67591,Housing,2025-06-13,0
Adweta Madan,683108465642,6881,Farming,2025-01-06,0
Anamika Chada,320888457947,8999,Education,2024-07-03,0
Shivani Swaminathan,837653447363,12064,Healthcare,2025-03-16,0
Dipta Hari,387134439159,17250,Farming,2025-01-26,0
Hema Apte,482981320272,47384,Healthcare,2025-10-17,1
Chaaya Sachar,256926987010,4962,Healthcare,2024-11-25,0
Ekanta Khatri,989146856492,12390,Farming,2024-08-01,0
Chavvi Maharaj,493214958702,10473,Education,2025-06-11,0
Kala Mammen,024024187987,5214,Healthcare,2024-09-16,0
Baljiwan Solanki,061648312306,1576,Healthcare,2024-12-11,0
Xavier Bora,630702867202,2572,Education,2024-12-19,0
Daksha Padmanabhan,056821102310,17984,Farming,2025-04-06,0
Ryan Naidu,846790877373,10806,Equipment,2025-01-30,0
Amruta Murty,056949045788,4697,LPG,2024-11-10,0
Edhitha Dhillon,483338931771,12727,Farming,2025-05-09,0
Fiyaz Mangal,501441699307,72831,Housing,2024-09-23,0
Sanya Naidu,478913390074,24592,Housing,2025-03-22,0
Farhan Kalla,835874744124,7038,Education,2025-03-30,0
Dominic Rajan,751800778428,7830,LPG,2025-01-02,0
Indrajit Mani,285814273502,5197,Farming,2024-11-15,0
Turvi Sachdev,549606607664,18114,Housing,2024-11-17,0
Yatin Kuruvilla,728157066250,11211,Education,2025-05-10,1
Harita Mangat,564679970246,29967,Equipment,2025-06-21,1
Wriddhish Dugar,088550694394,6712,LPG,2024-07-31,0
Ekaraj Dewan,653652053905,6817,Education,2024-12-19,0
Mitesh Sem,333139360572,46815,Equipment,2025-06-13,0
Panini Jain,849919872029,1647,Healthcare,2024-10-15,0
Vansha Srinivasan,890247232388,99815,Housing,2025-02-02,0
Garima Chandran,212606501917,13121,Healthcare,2024-07-16,0
Aryan Maharaj,104332181960,3686,Education,2024-10-28,0
Bakhshi Chander,890901001676,9750,Education,2024-07-09,1
Kashish Sunder,651502186459,2513,Healthcare,2025-04-21,0
Hemang Nagy,653647066967,55654,Housing,2024-08-20,0
Ekantika Dash,501061128951,6776,LPG,2025-10-18,1
Yoshita Varughese,105388349877,9933,Healthcare,2025-05-08,0
Hredhaan Khurana,652341389994,2906,Education,2025-06-30,1
George Mistry,201237785489,24831,Equipment,2025-04-04,0
Qadim Salvi,978726196971,26968,Equipment,2025-02-14,0
Jyoti Nair,540532421694,10368,Farming,2025-06-25,0
Chandran Rattan,008433914198,15586,Education,2024-08-08,0
Mitali Kala,356407830830,64329,Housing,2025-03-24,0
Patrick Prasad,824874142785,16810,Farming,2024-11-06,0
Damyanti Srinivasan,684808522824,7471,Healthcare,2025-05-22,0
Suhani Dutt,433950397886,3043,Farming,2024-11-12,0
Anamika Butala,138052063572,55753,Equipment,2024-11-04,0
Pavani Kuruvilla,441475376378,58849,Equipment,2024-09-28,0
Lila Vig,648821597738,3296,LPG,2025-06-30,0
Devika Dalal,230308593887,8467,Education,2025-02-04,0
Zaitra Kala,569421187490,7030,Education,2025-04-26,0
Faraj Borah,503986383466,11454,Healthcare,2025-03-25,0
Qasim Handa,973112196565,8451,Farming,2025-05-27,0
Krish Rout,806664306738,38238,Housing,2024-09-15,0
Samar Devan,132475469137,10525,Healthcare,2024-10-26,1
Pratyush Das,471817534096,19739,Education,2025-04-21,0
Siddharth Talwar,534967827411,89999,Housing,2025-03-10,0
Yauvani Seth,601880381459,17708,Education,2025-03-10,0
Janya Agate,413106660297,16537,Farming,2024-12-18,0
Balhaar Gill,798519218043,11934,Healthcare,2025-02-09,0
Edhitha Padmanabhan,426527428662,23917,Equipment,2025-06-20,0
Yuvraj Agrawal,335251145503,15976,Farming,2025-01-04,0
Bimala Atwal,349937269951,10023,Healthcare,2024-09-01,0
Charles Ganesh,675789683355,29535,Equipment,2025-03-07,0
Harita Mann,797587352794,12962,Education,2025-03-07,0
Inaya Kara,103891667709,59118,Equipment,2024-09-18,0
Karan Choudhary,858084891728,99965,Housing,2025-01-05,0
Ekaja Panchal,739211219618,26860,Housing,2024-07-16,0
Bhavya Varghese,987799948194,51973,Equipment,2025-01-25,0
Ikbal Kothari,875418156326,6747,Healthcare,2024-12-18,0
Wriddhish Varghese,199413644772,1898,Healthcare,2025-04-04,0
Ayaan Batta,050916339236,9992,Farming,2024-10-21,0
Fariq Narasimhan,126892658352,31587,Housing,2024-10-13,0
Pooja Mistry,346834854975,14349,Education,2025-03-08,0
Sanya Brar,817852211587,18490,Education,2025-04-12,0
Kashvi Hegde,546228851412,4279,Healthcare,2025-05-20,1
Bishakha Vig,458220673231,2643,Healthcare,2025-02-12,0
Rehaan Bhatnagar,194845422595,2155,LPG,2024-10-05,0
Harish Verma,556241266768,36766,Healthcare,2025-09-30,1
Nihal Kulkarni,589397251089,49367,Housing,2024-08-14,0
Naveen Bhavsar,492294689761,14522,LPG,2025-05-16,1
Yahvi Mann,047292774233,15761,Equipment,2025-05-30,0
Rushil Dewan,046161438403,13159,Healthcare,2024-09-03,0
Siddharth Divan,358139795196,15011,Equipment,2024-11-13,0
Brinda Pal,746967160356,6516,Healthcare,2024-08-13,0
Aishani Pau,389975634108,4034,LPG,2024-09-03,0
Jagat Bora,953155664239,3236,Housing,2025-05-02,1
Lohit Vig,433890254712,97754,Housing,2024-07-03,0
Libni Puri,890804947953,3022,LPG,2024-10-30,0
Brinda Oommen,592064232180,2100,Healthcare,2024-08-29,0
Manbir Bhakta,211535505143,3863,Education,2025-05-10,1
Sai Parsa,319925502727,2238,LPG,2025-06-11,0
Jagrati Tak,985417323425,18088,Education,2024-10-10,0
Rishi Chopra,389836403761,6476,Education,2025-05-19,1
Advaith Ganesan,753396360576,11053,Farming,2024-10-30,1
Pooja Dara,572281605960,2406,LPG,2025-02-15,0
Krishna Mani,130720610283,5220,LPG,2025-05-23,0
Aarav Wadhwa,783407932818,8950,Education,2025-02-28,0
Jagdish Wali,892321711467,2860,LPG,2024-07-17,0
Praneel Golla,334891402696,4896,Farming,2024-12-11,0
Zaitra Samra,004764822027,2446,LPG,2025-02-17,0
Harrison Sane,105340534749,22741,Farming,2025-05-24,0
Nicholas Dara,099964124956,8281,Healthcare,2024-08-07,0
Daksha Majumdar,618845243452,7735,LPG,2025-01-22,0
Girik Sampath,041027674783,10534,Equipment,2025-05-22,1
Sai Agrawal,078956518516,83785,Housing,2024-10-09,0
Ladli Karpe,714872717833,11858,LPG,2025-05-06,1
Jacob Varma,161612668182,16413,Farming,2024-11-09,0
Quincy Dutt,344834599619,6201,LPG,2024-07-01,0
Turvi Lata,293690706487,355664,Farming,2024-12-19,1
Turvi Dugar,533968860102,4087,LPG,2025-05-30,0
Ucchal Mann,860673476714,8866,Healthcare,2025-03-30,0
Hema Chada,849620299259,4005,Healthcare,2025-02-06,0
Aarna Prakash,723748531208,13631,Education,2024-10-11,0
Baghyawati Mishra,785324264250,82490,Housing,2024-09-12,0
Tarak Sabharwal,616613063548,2759,LPG,2025-01-31,0
Hemangini Nigam,367003690426,7916,Education,2025-01-04,0
Sudiksha Merchant,867908740640,2647,LPG,2024-09-22,1
Fiyaz Sangha,899642353693,59557,Housing,2025-06-16,0
Rajata Sunder,351751830469,1073,Healthcare,2024-08-07,0
Chaman Narang,108680679328,1444,Healthcare,2024-10-11,0
Daksha Raj,921180829380,34747,Housing,2025-03-28,0
Vincent Warrior,564199039709,4836,Housing,2025-05-05,1
Yoshita Prakash,285387037507,67783,Housing,2025-03-08,0
Nitesh Sengupta,452455574696,10510,Housing,2025-01-23,0
Nikita Kade,443283096520,8817,Farming,2024-10-12,1
Tanay Chander,045358597302,29856,Housing,2025-05-22,0
Vanya Bobal,914521182379,4845,Farming,2025-01-23,0
Victor Joshi,186146288363,23433,Equipment,2024-07-31,0
Nidra Dani,138601571171,22291,Farming,2025-06-27,0
Tristan Uppal,549401289743,9932,Farming,2024-08-05,0
Jackson Dave,603222756175,3604,Healthcare,2025-06-15,0
Vinaya Shan,830750163270,17316,Farming,2025-04-19,0
Pallavi Sridhar,759212996426,6157,Education,2024-11-01,0
Dev Pau,126454367687,499230,Healthcare,2025-03-03,1
Abeer Baral,021421061141,15456,Education,2025-01-16,0
Irya Goel,030897376027,7372,Healthcare,2024-10-10,0
Gagan Yadav,714674188050,4951,LPG,2025-04-03,0
Leela Buch,264697950804,26858,Equipment,2024-07-04,0
Hema Sandal,729825952694,13119,Farming,2024-07-01,1
Faris Ramanathan,176158650487,18345,Education,2025-04-11,0
Advika Balay,072391918465,7092,LPG,2025-01-27,0
Caleb Bhavsar,210651004601,13322,Education,2024-08-26,0
Ranveer Oak,458701204242,53229,Equipment,2024-10-19,0
Neel Karan,483836128132,67912,Housing,2025-05-17,0
Chanakya D’Alia,611110286712,2037,Education,2024-09-29,0
Jalsa Oza,045591289951,5402,Farming,2025-06-11,0
Girik Hora,566460328770,5970,LPG,2025-05-23,0
Neelima Gaba,127794917655,13432,Healthcare,2025-04-09,0
Rachit Kuruvilla,139053626177,14155,Education,2024-12-15,0
Diya Ratti,693215299596,15393,Education,2025-02-17,0
Falan Barad,711065838527,70072,Housing,2025-04-06,0
Chakradev Barad,960443270185,17667,Education,2025-01-30,0
Wishi Radhakrishnan,816217300271,9309,Farming,2025-02-09,0
Jagat Pall,286838432476,18537,Education,2024-12-07,0
Radha Raghavan,436602093137,8334,Healthcare,2024-09-20,0
Rajata Devan,387443730535,6586,Healthcare,2025-03-07,0
Ayushman Kuruvilla,569240138598,91838,Housing,2024-11-12,0
Ryan Kalla,239554525913,25551,Housing,2024-07-06,0
Veer Solanki,151369928710,5230,Education,2025-04-23,0
Devika Dayal,753726032145,8309,Education,2025-01-14,0
Yatin Vora,924075818141,2422,Healthcare,2025-03-02,1
Owen Thakur,056413953767,8024,Education,2025-01-20,1
Pratyush Sharaf,808140334050,297304,Healthcare,2024-08-27,1
Chaitaly Suri,546291486528,11272,Equipment,2025-05-20,1
Yochana Nadkarni,255291653979,3291,LPG,2024-11-06,0
Arin Lala,265064036840,27261,Equipment,2025-04-28,0
Chakradhar Mody,231951215487,10023,Healthcare,2025-03-06,0
Lajita Chatterjee,582126264395,52992,Housing,2025-03-20,0
Vansha Desai,245571162743,2167,LPG,2024-11-22,0
Wridesh Kaur,746923760179,3083,LPG,2024-10-24,0
Lajita Munshi,446546772051,19157,Housing,2025-02-21,0
Bhavika Ratta,172458380278,5257,LPG,2024-08-14,0
Anusha Anne,144876216483,59381,Equipment,2025-06-04,0
Vansha Mukherjee,565016385731,9607,Healthcare,2025-03-31,0
Adweta Edwin,449058147700,6906,LPG,2024-08-09,0
Jai Pingle,057039963066,12043,Housing,2024-12-24,0
Krish Nagar,125093700911,9333,Education,2024-12-09,0
Mitali Shenoy,495364035270,17809,Farming,2024-09-25,0
Vedhika Joshi,264259154339,33409,Housing,2025-04-02,0
Chatura Gokhale,679632594232,34298,Equipment,2025-04-21,0
Dhruv Bhatia,121263581567,2604,Education,2025-01-16,0
Eshana Soni,204262019712,41389,Equipment,2024-09-15,0
Benjamin Nadig,038016258515,14178,Education,2025-06-18,0
Tanvi Iyer,953815750154,18061,Farming,2025-06-18,0
Ladli Karpe,714872717833,11932,Healthcare,2025-05-06,1
Bhanumati Shankar,552032865918,17499,Education,2025-04-15,0
Indira Narula,926860173855,25030,Equipment,2024-12-29,0
Yashodhara Korpal,139088508542,1778,LPG,2024-09-14,0
Mitali Buch,717751701660,8461,Healthcare,2024-08-16,0
Kabir Deshmukh,886867197132,12923,Education,2024-09-13,0
Logan Mittal,835051834402,42615,Housing,2024-11-12,0
Ojas Agrawal,575380299912,14564,Equipment,2025-05-25,1
Varenya Panchal,734289042685,42741,Equipment,2024-11-26,0
Amrita Deo,235845963838,4043,LPG,2025-02-16,0
Triya Doctor,160180211813,3367,LPG,2025-03-15,0
Hemani Konda,464917731630,22287,Housing,2025-02-14,0
Jackson Ram,625695125162,11010,Healthcare,2024-07-16,0
Ijaya Palan,723247282895,53701,Equipment,2024-11-21,0
Zaitra De,426622549203,80370,Housing,2024-10-27,0
Manan Sathe,982267312343,13836,Healthcare,2025-03-29,0
Karan Andra,396977232641,10225,Healthcare,2025-03-20,0
Ekantika Pillay,282225018256,19652,Farming,2024-12-01,0
Arunima Narayanan,287439435862,6295,Education,2024-09-01,0
Edhitha Purohit,555809579475,1916,Healthcare,2025-01-26,0
Barkha Chakrabarti,266808663152,31735,Equipment,2025-02-13,0
Rachita Sha,192689009860,28251,Equipment,2025-03-25,0
Zilmil Magar,736180242990,13717,Farming,2024-10-24,0
Meghana Sampath,309773983666,12245,Education,2025-06-02,0
Nitesh Basak,581835002287,19705,Equipment,2025-06-09,0
Charvi Sharaf,757691201358,9373,Farming,2024-09-12,0
Mugdha Dhar,308824141369,7845,Healthcare,2025-02-16,0
Ekbal Nath,774239354337,19090,Farming,2024-09-07,0
Pushti Kurian,138308339334,22969,Housing,2025-01-26,0
Yuvraj Manne,682542771855,9755,Education,2025-06-09,0
Waida Sheth,272220390876,57877,Equipment,2024-09-21,0
Fitan Sanghvi,140035630328,12484,Farming,2024-10-06,0
Zashil Savant,365294471619,33306,Equipment,2024-09-11,0
Tanish Gera,320585374858,6722,Education,2024-09-30,0
Harish Devan,153473552896,8595,Equipment,2024-09-12,0
Bina Kashyap,083209143193,12211,Healthcare,2024-11-08,0
Ishaan Raman,981149001871,16489,Education,2024-08-28,0
Gaurang Chhabra,511034998519,14772,Education,2024-08-08,0
Luke Arya,753418399557,12407,Healthcare,2024-07-17,0
Ishanvi Kunda,443805158952,53330,Housing,2024-10-21,0
Ishanvi Wali,635720994494,12400,Education,2024-11-22,0
Arjun Shroff,248374441723,3744,LPG,2024-12-19,0
Samar Loke,035797279855,21428,Farming,2024-11-10,0
Neel Wadhwa,472781219657,21109,Farming,2024-08-13,0
Frederick Bail,930922202417,46678,Housing,2025-04-30,0
Qarin Om,225662952305,22891,Farming,2024-12-24,0
Gaurangi Merchant,628307338475,3966,Healthcare,2025-05-12,1
Nidhi Sant,589513818655,19129,Education,2025-03-08,0
Vansha Garde,692339530025,24318,Equipment,2024-10-09,0
Ubika Bhagat,272352643611,21614,Farming,2025-03-23,0
Abhiram Kumer,433470524345,14226,Equipment,2025-06-19,0
Zarna Vohra,004589275234,11118,Education,2024-07-19,0
Faris Kata,349727908347,19138,Education,2024-07-05,0
Charvi Som,974754737704,14315,Healthcare,2024-07-21,0
Wazir Sandhu,834062629536,3508,LPG,2024-11-16,0
Gaurangi Bal,765657076214,6740,Equipment,2025-05-11,1
Urvi Devi,033230982150,7090,Equipment,2024-07-25,1
Suhani Chakrabarti,622999119148,7206,LPG,2024-11-13,0
Lakshmi Sane,959578127317,53074,Equipment,2025-06-14,0
Harini Bhardwaj,882390052238,2810,Healthcare,2024-11-28,0
Upkaar Bains,511881167873,4823,LPG,2024-07-29,0
Triya Ganesan,534050892739,76798,Housing,2024-12-15,0
Chakrika Koshy,112166365155,7551,Healthcare,2025-06-25,0
Tara Tank,059831244129,9997,Education,2024-12-18,0
Anya Sunder,736365259469,14148,Housing,2024-10-11,0
Aishani Badal,842122898535,6818,LPG,2024-11-11,0
Vyanjana Mandal,289302840521,5708,Healthcare,2024-12-12,0
Omya Garg,094516767063,66712,Housing,2025-06-09,0
Chaman Mohanty,290094017749,54906,Equipment,2025-04-17,0
Manbir Basak,964548277195,1669,Healthcare,2025-05-21,0
Warda Manne,176532448343,13690,Healthcare,2025-03-04,0
Radha Tak,234496227876,15905,Education,2025-06-23,0
Dalbir Sachar,628314359892,83941,Housing,2024-12-09,0
Nathaniel Sama,792054502361,4600,LPG,2024-10-12,0
Charles Agrawal,418880592962,809,Healthcare,2024-07-21,1
Bachittar Rao,452969338947,7297,Housing,2025-05-16,1
Jagdish Hegde,669912856859,3393,LPG,2025-02-01,0
Krish Hora,198872634921,8469,Healthcare,2025-05-09,1
Raghav Sanghvi,496599052702,5506,LPG,2025-02-05,0
Tripti Dey,191702423637,6237,LPG,2024-10-19,0
Ethan De,250727180984,68481,Housing,2025-05-03,0
Nachiket Lala,629946804436,20498,Farming,2024-12-06,1
Agastya Varughese,808782534670,8992,Healthcare,2025-02-13,0
Inaya Sankar,490444742707,10970,Farming,2024-11-17,0
Nandini Sunder,793548930709,16863,Education,2024-07-01,0
Lipika Hans,186682726340,16048,Education,2025-04-06,0
Jhalak Kashyap,308276412778,39879,Equipment,2025-06-21,0
Bachittar Ray,394423896714,23479,Farming,2024-12-18,0
Widisha Bakshi,346232168241,6892,Healthcare,2024-11-05,0
Darika Sandal,070022796244,2689,LPG,2025-03-16,0
Abhiram Ramaswamy,950047974801,4137,LPG,2024-09-06,1
Vihaan Choudhury,354346994805,15642,Housing,2025-03-21,0
Henry Dasgupta,520235893771,11233,Farming,2024-10-01,0
Anamika Rout,403020559421,2188,LPG,2025-01-29,0
Jack Pandey,009156182980,18144,Farming,2024-12-18,0
Yachana Patla,864236455625,2387,LPG,2025-01-19,0
Arya Nagarajan,365354237246,50670,Housing,2025-01-13,0
Varsha Raju,316400796589,7237,Education,2025-02-15,0
Ojas Agrawal,575380299912,6182,Equipment,2025-03-25,0
Janaki Mani,233168885116,6241,Farming,2024-08-20,0
Yashoda Mangat,828789917235,15287,Farming,2025-04-02,0
Dhriti Ahuja,492210561219,39949,Equipment,2025-04-23,0
Udarsh Kota,885984538120,7004,LPG,2025-03-21,0
Raghav Kibe,247032133780,8990,Education,2024-12-06,0
Warjas Chahal,117555677473,2227,LPG,2025-01-31,0
Isaac Shenoy,991498250461,19542,Housing,2024-08-09,0
Varenya Chander,179300805889,13153,Healthcare,2024-12-16,0
Bishakha Peri,929070383942,20307,Housing,2024-10-21,0
Dev Pau,126454367687,14365,Healthcare,2025-03-03,0
Oliver Kunda,600999749411,19898,Housing,2025-04-25,0
